Lluvia;Hora;Dia;Carretera;Mes;Velocidad
77;0;2;7;3;40-50
23;5;1;27;11;40-50
61;12;1;25;7;60-70
66;6;1;58;4;40-50
41;18;0;86;6;40-50
68;0;6;44;12;20-30
60;19;6;25;0;40-50
25;1;5;9;6;20-30
56;13;6;93;10;40-50
59;0;6;37;11;40-50
30;17;2;69;5;40-50
65;20;1;45;10;40-50
54;17;0;94;12;40-50
39;12;3;21;7;40-50
68;22;4;37;5;40-50
83;21;0;72;11;20-30
56;13;2;3;12;40-50
65;8;0;31;9;40-50
58;5;4;72;3;40-50
89;15;0;40;1;40-50
14;15;3;94;0;40-50
22;6;0;16;4;60-70
69;0;1;89;6;40-50
59;14;6;74;10;20-30
2;5;2;30;9;40-50
52;23;6;65;5;40-50
62;6;1;1;9;60-70
82;20;5;60;0;40-50
58;5;4;98;5;40-50
57;18;4;57;9;40-50
6;5;6;83;8;40-50
51;22;5;89;0;40-50
26;13;5;70;9;40-50
97;10;0;22;12;40-50
83;0;0;4;11;40-50
15;10;3;94;1;40-50
60;4;2;12;12;40-50
59;2;0;70;3;40-50
73;18;5;87;8;40-50
9;22;0;13;3;20-30
52;2;5;29;4;40-50
4;22;4;64;9;40-50
36;6;3;60;5;40-50
40;15;5;6;0;40-50
82;20;5;84;7;40-50
29;8;1;19;1;60-70
22;19;1;54;7;60-70
89;19;2;62;3;40-50
71;22;1;10;9;40-50
65;14;1;54;6;40-50
12;4;3;97;0;40-50
55;17;1;41;4;40-50
79;19;3;6;3;40-50
74;5;6;40;4;40-50
90;0;0;1;10;40-50
63;15;3;70;11;40-50
21;6;3;20;11;40-50
61;20;1;51;2;40-50
31;7;2;8;4;60-70
28;17;0;34;6;60-70
86;18;3;8;3;40-50
4;2;0;56;11;40-50
4;7;2;2;2;60-70
39;11;6;98;11;20-30
79;9;6;39;5;40-50
56;23;0;71;6;40-50
96;22;1;64;10;20-30
2;14;3;89;12;40-50
42;19;1;89;5;40-50
55;8;0;63;9;40-50
15;12;1;49;4;60-70
83;12;1;89;11;20-30
34;9;3;10;11;20-30
14;19;5;0;2;60-70
49;8;6;29;11;20-30
66;10;5;13;1;40-50
22;13;6;19;12;20-30
96;17;3;15;11;40-50
25;21;1;43;0;60-70
12;12;6;12;1;40-50
51;17;1;63;7;40-50
49;8;3;22;6;40-50
30;15;6;31;8;40-50
93;8;2;42;2;40-50
76;19;1;36;8;40-50
91;7;2;99;3;40-50
44;15;0;74;10;40-50
16;23;4;48;2;40-50
81;12;6;65;6;40-50
33;13;4;5;2;40-50
68;20;4;85;7;40-50
94;23;6;82;3;20-30
3;2;2;49;6;60-70
34;15;2;77;6;40-50
4;4;4;3;3;60-70
45;4;2;88;5;40-50
51;10;4;15;2;40-50
86;18;6;79;7;40-50
99;9;3;34;12;20-30
9;16;0;28;9;40-50
